,Disciplina,Turma,CH Total,Horário
0,2020.2,2020.2,2020.2,2020.2
1,MAT002 - CÁLCULO II,4.0,64h,2T12 6T34
2,DES201 - DESENHO TÉCNICO BÁSICO,10.0,64h,3N1234
3,ECOP02 - ESTRUTURA DE DADOS,1.0,48h,3T345
4,FIS213 - FÍSICA EXPERIMENTAL I,5.0,16h,"5M23 (20/08/2020 - 20/08/2020), 5M23 (03/09/2020 - 03/09/2020), 5M23 (17/09/2020 - 17/09/2020), 5M23 (01/10/2020 - 01/10/2020), 5M23 (15/10/2020 - 15/10/2020), 5M23 (29/10/2020 - 29/10/2020), 5M23 (12/11/2020 - 12/11/2020), 5M23 (26/11/2020 - 26/11/2020), 5M23 (10/12/2020 - 10/12/2020)"
5,FIS203 - FÍSICA GERAL I,3.0,64h,4T34 6T12
6,ECOP12 - LABORATÓRIO DE ESTRUTURA DE DADOS,1.0,32h,2M23
7,ECOM11 - LABORATÓRIO DE MATEMÁTICA DISCRETA,1.0,16h,"4M23 (26/08/2020 - 26/08/2020), 4M23 (09/09/2020 - 09/09/2020), 4M23 (23/09/2020 - 23/09/2020), 4M23 (07/10/2020 - 07/10/2020), 4M23 (21/10/2020 - 21/10/2020), 4M23 (04/11/2020 - 04/11/2020), 4M23 (18/11/2020 - 18/11/2020), 4M23 (02/12/2020 - 02/12/2020)"
8,FIS114 - LABORATÓRIO DE METODOLOGIA CIENTÍFICA,1.0,16h,2N1 (17/08/2020 - 12/12/2020)
9,BAC002 - LINGUAGEM E COMUNICAÇÃO,1.0,64h,34T12
10,ECOM01 - MATEMÁTICA DISCRETA,1.0,48h,"5T12 (20/08/2020 - 20/08/2020), 5T1234 (27/08/2020 - 27/08/2020), 5T12 (03/09/2020 - 03/09/2020), 5T1234 (10/09/2020 - 10/09/2020), 5T12 (17/09/2020 - 17/09/2020), 5T1234 (24/09/2020 - 24/09/2020), 5T12 (01/10/2020 - 01/10/2020), 5T1234 (08/10/2020 - 08/10/2020), 5T12 (15/10/2020 - 15/10/2020), 5T1234 (22/10/2020 - 22/10/2020), 5T12 (29/10/2020 - 29/10/2020), 5T1234 (05/11/2020 - 05/11/2020), 5T12 (12/11/2020 - 12/11/2020), 5T1234 (19/11/2020 - 19/11/2020), 5T12 (26/11/2020 - 26/11/2020), 5T1234 (03/12/2020 - 03/12/2020)"
11,QUI112 - QUIMICA EXPERIMENTAL,5.0,16h,"3M23 (18/08/2020 - 18/08/2020), 3M23 (01/09/2020 - 01/09/2020), 3M23 (15/09/2020 - 15/09/2020), 3M23 (29/09/2020 - 29/09/2020), 3M23 (13/10/2020 - 13/10/2020), 3M23 (27/10/2020 - 27/10/2020), 3M23 (10/11/2020 - 10/11/2020), 3M23 (24/11/2020 - 24/11/2020), 3M23 (09/12/2020 - 09/12/2020)"
12,QUI102 - QUIMICA GERAL,1.0,64h,6M23 2T34
13,2020.1,2020.1,2020.1,2020.1
14,ECOP00 - ALGORITMOS,1.0,32h,3T12
15,MAT001 - CÁLCULO I,8.0,96h,2T34 46T12
16,MAT011 - GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,6.0,64h,2T12 4T34
17,ECO101 - INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,1.0,32h,3T34
18,ECOP11 - LABORATÓRIO DE TÉCNICAS DE PROGRAMAÇÃO,3.0,32h,5M23
19,FIS104 - METODOLOGIA CIENTÍFICA,5.0,32h,5T12
20,ECOP01 - TÉCNICAS DE PROGRAMAÇÃO,2.0,32h,2M45
21,,,,
